country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Afghanistan,0,64385715,25912558,0,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,10,432115,21758845,50,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,15,302660,16568110,55,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,20,284357,15782996,56,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,25,254867,14538150,57,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,30,205791,12410476,60,16684.0,432080.0,-415395.0,23243.0,39291.0,48188.0,33916.0,41449.0,23563.0,42479.0,19255.0,14275.0,14724.0,19826.0,10080.0,295.0,705.0,0.0,0.0,0.0,5349.0,3982.0,15023.0,8975.0,2437.0
Afghanistan,50,148430,9766233,66,13750.0,309352.0,-295602.0,21247.0,30838.0,41134.0,28177.0,31731.0,18257.0,35235.0,15722.0,10572.0,11195.0,17328.0,8480.0,186.0,464.0,0.0,0.0,0.0,4365.0,3620.0,13703.0,8064.0,2190.0
Afghanistan,75,75486,5572051,74,6664.0,169317.0,-162653.0,13135.0,14581.0,21656.0,12427.0,13389.0,7717.0,16340.0,6407.0,5054.0,4960.0,8634.0,4248.0,46.0,125.0,0.0,0.0,0.0,2260.0,1894.0,8949.0,3862.0,922.0
Akrotiri and Dhekelia,0,23448,55601,2,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,10,1216,49982,41,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,15,875,36616,42,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,20,760,32277,42,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,25,524,23021,44,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,30,456,20529,45,618.0,1592.0,-974.0,383.0,144.0,0.0,493.0,47.0,582.0,986.0,407.0,1005.0,45.0,455.0,955.0,443.0,437.0,2779.0,2967.0,430.0,350.0,234.0,177.0,247.0,39.0
Akrotiri and Dhekelia,50,336,16116,48,579.0,1206.0,-626.0,345.0,144.0,0.0,493.0,20.0,558.0,805.0,336.0,984.0,45.0,389.0,955.0,429.0,397.0,2714.0,2951.0,383.0,277.0,234.0,45.0,203.0,39.0
Akrotiri and Dhekelia,75,185,9639,52,396.0,743.0,-347.0,204.0,98.0,0.0,464.0,20.0,352.0,627.0,195.0,853.0,45.0,349.0,955.0,360.0,142.0,1646.0,2048.0,147.0,34.0,128.0,0.0,0.0,39.0
Albania,0,2873537,47749049,17,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,10,838912,46286188,55,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,15,776882,44568875,57,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,20,753090,43880147,58,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,25,706652,42581585,60,,,,,,,,,,,,,,,,,,,,,,,,,
