country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Afghanistan,0,64385715,64385715,64385715,10741,103,214,267,225,268,172,274,122,92,109,134,60,15,9,0,0,0,32,26,46,47,15
Afghanistan,10,64385715,432115,126247,10741,92,190,253,207,246,159,259,112,74,94,116,41,2,4,0,0,0,28,19,40,37,9
Afghanistan,15,64385715,302660,106867,10741,91,186,247,205,240,156,256,110,73,92,114,40,2,3,0,0,0,28,18,39,32,8
Afghanistan,20,64385715,284357,105733,10741,89,180,245,203,238,153,254,108,71,88,114,40,2,3,0,0,0,28,18,39,32,8
Afghanistan,25,64385715,254867,72395,10741,89,180,245,202,237,153,254,108,71,88,114,39,1,3,0,0,0,27,18,38,28,7
Afghanistan,30,64385715,205791,71797,10741,88,179,244,201,236,152,253,107,70,88,113,39,1,3,0,0,0,26,17,37,26,6
Afghanistan,50,64385715,148430,46242,10741,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15,33,23,5
Afghanistan,75,64385715,75486,18270,10741,47,61,96,61,64,43,83,28,21,24,41,14,0,0,0,0,0,10,8,19,9,2
Akrotiri and Dhekelia,0,23448,23448,23448,42,2,1,0,2,1,3,4,2,3,0,2,2,2,2,8,11,12,5,7,5,3,1
Akrotiri and Dhekelia,10,23448,1216,563,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,2,1,1,1,0
Akrotiri and Dhekelia,15,23448,875,457,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,1,1,1,1,0
Akrotiri and Dhekelia,20,23448,760,435,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,1,1,1,1,0
Akrotiri and Dhekelia,25,23448,524,410,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,2,1,1,1,1,0
Akrotiri and Dhekelia,30,23448,456,383,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,1,1,0
Akrotiri and Dhekelia,50,23448,336,238,42,1,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,0,1,0
Akrotiri and Dhekelia,75,23448,185,136,42,1,0,0,1,0,1,2,1,2,0,1,2,1,0,3,5,0,0,0,0,0,0
Albania,0,2873537,2873537,2873537,16472,3908,941,676,3456,761,1034,5515,5804,1464,754,1378,6101,3274,1420,427,1394,2872,2926,1626,1831,3267,3518
Albania,10,2873537,838912,712807,16472,3816,909,636,3328,719,987,5348,5609,1379,680,1257,5699,2842,1182,334,1108,2111,2345,1247,1311,2058,2442
Albania,15,2873537,776882,653386,16472,3784,897,629,3302,713,982,5327,5578,1366,674,1242,5626,2762,1154,325,1075,2025,2273,1212,1272,1972,2360
Albania,20,2873537,753090,641896,16472,3761,893,625,3274,707,977,5297,5542,1355,666,1230,5578,2726,1134,322,1052,1969,2234,1188,1241,1926,2319
Albania,25,2873537,706652,621131,16472,3739,890,617,3247,698,967,5240,5489,1341,659,1201,5481,2655,1100,309,1004,1854,2158,1145,1185,1824,2236
Albania,30,2873537,648680,589017,16472,3729,890,614,3237,695,963,5225,5471,1337,656,1188,5396,2570,1052,284,928,1689,2049,1074,1118,1686,2095
Albania,50,2873537,534848,428833,16472,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947,940,1371,1778
Albania,75,2873537,363824,190809,16472,2582,706,374,2430,487,752,3947,4058,1018,502,789,3729,1637,729,198,524,930,1289,724,690,947,1197
Algeria,0,230804377,230804377,230804377,89152,3824,3292,4126,4990,4976,6126,5915,9228,11500,3047,8997,13643,12287,16309,9685,13016,63458,8842,11274,21526,32225,19554
Algeria,10,230804377,1690460,1102812,89152,3696,3144,3951,4558,4667,5645,5418,8295,10842,2728,8611,11856,8508,11455,6875,9425,51298,6883,7732,15541,24086,15478
Algeria,15,230804377,1472056,1001897,89152,3598,3091,3896,4475,4571,5554,5326,8147,10673,2677,8506,11552,7891,10738,6412,8884,49450,6389,7130,14608,22655,14691
Algeria,20,230804377,1419827,984682,89152,3534,3050,3865,4433,4530,5501,5272,8073,10575,2646,8449,11411,7645,10441,6240,8646,48566,6268,6910,14169,22140,14390
Algeria,25,230804377,1316669,865312,89152,3507,3026,3850,4401,4499,5450,5223,8009,10518,2620,8392,11190,7328,10067,6016,8373,47560,6030,6632,13711,21460,14042
Algeria,30,230804377,1223621,821606,89152,3469,3010,3831,4374,4470,5415,5202,7972,10467,2606,8344,10913,6927,9523,5707,8011,45979,5764,6291,13073,20473,13443
Algeria,50,230804377,895576,472785,89152,2427,2305,3019,3311,3401,4199,4160,6392,8507,2135,7192,8961,5045,6993,4267,6004,37696,4295,4620,9831,15636,10492
Algeria,75,230804377,496666,221058,89152,1191,1358,1783,1810,1847,2428,2465,3767,5235,1341,4996,5738,2427,3373,2224,3219,22665,2356,2263,5234,7981,5372
Andorra,0,45196,45196,45196,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,17,10,30,2,16
